Sentences of 106_the_poor_millers_boy_and_the_cat,RST Relation 106_the_poor_millers_boy_and_the_cat,Nuclearity,One Label
"In a certain mill lived an old miller who had neither wife nor child, and three apprentices served under him.",Elaboration,N,NEUTRAL
"As they had been with him several years, he one day said to them, I am old, and want to sit in the chimney-corner, go out, and whichsoever of you brings me the best horse home, to him will I give the mill, and in return for it he shall take care of me till my death.",Contrast,N,NEUTRAL
"The third of the boys was, however, the drudge, who was looked on as foolish by the others; they begrudged the mill to him, and afterwards he would not have it.",Contrast,S,-
"Then all three went out together, and when they came to the village, the two said to stupid Hans, Thou mayst just as well stay here, as long as thou livest thou wilt never get a horse.",Contrast,N,NEUTRAL
"Hans, however, went with them, and when it was night they came to a cave in which they lay down to sleep.",Elaboration,S,NEUTRAL
"The two sharp ones waited until Hans had fallen asleep, then they got up, and went away leaving him where he was.",Elaboration,S,NEUTRAL
"And they thought they had done a very clever thing, but it was certain to turn out ill for them.",Contrast,N,NEUTRAL
"When the sun arose, and Hans woke up, he was lying in a deep cavern.",Elaboration,S,NEUTRAL
"He looked around on every side and exclaimed, Oh, heavens, where am I?",Elaboration,S,SADNESS
"Then he got up and clambered out of the cave, went into the forest, and thought, Here I am quite alone and deserted, how shall I obtain a horse now?",Contrast,S,SADNESS
"Whilst he was thus walking full of thought, he met a small tabby-cat which said quite kindly, Hans, where are you going?",Contrast,N,-
"Alas, thou canst not help me.",evaluation,S,SADNESS
"I well know your desire, said the cat.",Elaboration,S,NEUTRAL
You wish to have a beautiful horse.,evaluation,S,NEUTRAL
"Come with me, and be my faithful servant for seven years long, and then I will give you one more beautiful than any you have ever seen in your whole life.",Contrast,S,NEUTRAL
"Well, this is a wonderful cat! thought Hans, but I am determined to see if she is telling the truth.",Contrast,S,JOY
"So she took him with her into her enchanted castle, where there were nothing but cats who were her servants.",Contrast,S,NEUTRAL
"They leapt nimbly upstairs and downstairs, and were merry and happy.",Elaboration,S,JOY
"In the evening when they sat down to dinner, three of them had to make music.",Contrast,S,NEUTRAL
"One played the bassoon, the other the fiddle, and the third put the trumpet to his lips, and blew out his cheeks as much as he possibly could.",Contrast,S,NEUTRAL
"When they had dined, the table was carried away, and the cat said, Now, Hans, come and dance with me.",Elaboration,S,NEUTRAL
"No, said he, I wont dance with a pussy cat.",Contrast,S,NEUTRAL
I have never done that yet.,Contrast,S,NEUTRAL
"Then take him to bed, said she to the cats.",Contrast,N,NEUTRAL
"So one of them lighted him to his bed-room, one pulled his shoes off, one his stockings, and at last one of them blew out the candle.",temporal,S,NEUTRAL
"Next morning they returned and helped him out of bed, one put his stockings on for him, one tied his garters, one brought his shoes, one washed him, and one dried his face with her tail.",temporal,S,NEUTRAL
That feels very soft! said Hans.,Contrast,S,JOY
"He, however, had to serve the cat, and chop some wood every day, and to do that, he had an axe of silver, and the wedge and saw were of silver and the mallet of copper.",Elaboration,S,NEUTRAL
"So he chopped the wood small; stayed there in the house and had good meat and drink, but never saw anyone but the tabby-cat and her servants.",Elaboration,S,NEUTRAL
"Once she said to him, Go and mow my meadow, and dry the grass, and gave him a scythe of silver, and a whetstone of gold, but bade him deliver them up again carefully.",Contrast,S,NEUTRAL
