text,discourse_relation
i can give a sheep or wood for a wheat.,elaboration
"Everybody in the town knew what a remarkable quality the stuff possessed, and all were anxious to see how bad or stupid their neighbours were.",elaboration
"So he sat down, and the fox began to run, and away they went over stock and stone so quick that their hair whistled in the wind.",elaboration
"That is a reward for your industry, said Mother Holle, and as she spoke she handed her the spindle which she had dropped into the well.",elaboration
He said there were as many inhabitants in that town as he had nails in his body.,elaboration
i could offer sheep or ore (to gotwood4sheep),elaboration
what do you need guys?,elaboration
so you don't miss out too much,elaboration
"And when one looked at the fields, how beautifully the corn stood and how green it shone, without comparison! and there was a twittering and a fluttering of all the little birds, as if the day were a great festival; and so it was, for it was Sunday.",elaboration
"He found the blue light, and made her a signal to draw him up again.",elaboration
"They waited there for half a day, and the food still remained warm and smoking, and at length they were so hungry that they sat down and ate, and agreed with each other that they would stay and live in that castle, and that one of them, who should be chosen by casting lots, should remain in the house, and the two others seek the Kings daughters.",elaboration
"Pray, my good lady, said the ass, whats the matter with you?",elaboration
any wheat to spare?,elaboration
now i need a wheat OR a sheep,elaboration
"SO, I need wheat.",elaboration
"Then she was placed with her accomplice in a ship which had been pierced with holes, and sent out to sea, where they soon sank amid the waves.",elaboration
have plenty of ore,elaboration
They led him to the spot where the money was concealed.,elaboration
Nope,elaboration
Eating the snake had given him power of understanding the language of animals.,elaboration
we haven't had to type time yet or whatever it is that extends the time,elaboration
yiin made an offer to trade 1 clay for 1 wood.,elaboration
"The fox's skin, the honorable sign of the furrier, was found fastened to the bell-pull of a young man who always went to early lecture, and looked like a furled umbrella.",elaboration
"Pray dont, answered he, it will discover us.",elaboration
"okay, do you people have ore?",elaboration
"When the wolf was gone, came a dog, a stag, a hare, a bear, a lion, and all the beasts of the forest, one after the other.",elaboration
"The third day, when her father and mother and sisters were gone, she went again into the garden, and said:",elaboration
Wilt thou give me lessons?,elaboration
IG made an offer to trade 2 wheat for 1 wood.,elaboration
"Delaying is not forgetting, said the fellow.",elaboration
"I dunno,",elaboration
She had gone home.,elaboration
The wolf thought to himself: What a tender young creature! what a nice plump mouthful--she will be better to eat than the old woman.,elaboration
anyone got ore,elaboration
william made an offer to trade 1 sheep for 1 ore.,elaboration
I could offer wheat,elaboration
"When it came to Jan. 1st there was still no money, and Pickles was unable to buy a dog license.",elaboration
yeah,elaboration
"Then said the little room-door, Little flea, why art thou screaming?",elaboration
I have wheat engouh for all of you,elaboration
anyone want a clay?,elaboration
I have wheat engouh for all of you,elaboration
He is her helper and defender.,elaboration
Rainbow made an offer to trade 1 wheat for 1 sheep.,elaboration
His comrade ran thither and brought him what he wanted.,elaboration
oh whoops,elaboration
"And now he had to use his own legs, and when he had walked a long way, he came to a large city.",elaboration
gg all,elaboration
How came you in my palace? asked he.,elaboration
ljaybrad123 made an offer to trade 1 sheep for 1 wheat.,elaboration
Ghettoette made an offer to trade 2 wheat for 1 ore.,elaboration
:,elaboration
"Before the castle gate all was as the fox had said: so the son went in and found the chamber where the golden bird hung in a wooden cage, and below stood the golden cage, and the three golden apples that had been lost were lying close by it.",elaboration
anyone have clay? ,elaboration
"The incense rises in clouds, and the monks chant the funeral hymn.",elaboration
Or for an ore,elaboration
does anyone need sheep or wheat?,elaboration
"Thou hast misled me finely, said he; I wanted to fetch the other lamb, and the country folks surprised me, and have beaten me to a jelly.",elaboration
william for a sheep?,elaboration
might be web lag?,elaboration
anything for wheat?,elaboration
"yes, yes,",elaboration
"The straw therefore stretched itself from one bank to the other, and the coal, who was of an impetuous disposition, tripped quite boldly on to the newly-built bridge.",elaboration
"william, you are wheatylicious over there",elaboration
"When Benjamin Bunny grew up, he married his Cousin Flopsy.",elaboration
does anyone have wheat?,elaboration
They at length agreed that the person should be chosen as pope who should be distinguished by some divine and miraculous token.,elaboration
anyone got wheat?,elaboration
And the magician who had no name looked through the magnifying-glass.,elaboration
"The little sister, however, was dreadfully frightened when she saw that her fawn was hurt.",elaboration
do you have ore?,elaboration
http://www.catan.com/en/download/?SoC_rv_Rules_091907.pdf,elaboration
got another 1,elaboration
little colour ticky boxes,elaboration
"I rob for the resources,",elaboration
"And all the children out of the lane- yes, even out of the little lane at the back- flocked to the place, and each gave a button.",elaboration
just wheat,elaboration
"The old woman was as good as her word: she never spoke angrily to her, and gave her roast and boiled meats every day.",elaboration
"Now it chanced that an old soldier, who had been wounded in battle and could fight no longer, passed through the country where this king reigned: and as he was travelling through a wood, he met an old woman, who asked him where he was going.",elaboration
"The woman went down, and found all three in the midst of their lamentations, and inquired what was the cause; then Elsie told her also that her future child was to be killed by the pick-axe, when it grew big and had to draw beer, and the pick-axe fell down.",elaboration
"wait, ",elaboration
what about ore,elaboration
got some clay.,elaboration
"Fourteen years ago he floated down to the mill-dam in a box, and the mill-boy pulled him out of the water.",elaboration
"He asked Saint Peter what had become of the stool, but he did not know.",elaboration
>>> Josephine has won the game with 10 points.,elaboration
"The little goblin had never imagined, much less seen or heard of, any sight so glorious as this.",elaboration
sabercat made an offer to trade 1 wheat for 1 sheep.,elaboration
"That depends upon wind and weather, said the elf king; they travel economically.",elaboration
"The next day when the feast was again held, and her father, mother, and sisters were gone, Ashputtel went to the hazel-tree, and said:",elaboration
"The thought pleased the good cobbler very much; and one evening, when all the things were ready, they laid them on the table, instead of the work that they used to cut out, and then went and hid themselves, to watch what the little elves would do.",elaboration
"And she delivered her papers, and took Puggie upon her arm.",elaboration
amycharl made an offer to trade 3 clay for 3 ore.,elaboration
somdechn made an offer to trade 1 wood for 1 wheat.,elaboration
"And having said all this, the elf vanished.",elaboration
What a beautiful pattern!,elaboration
"Then the grandfather nodded to a place above the looking-glass, where hung an almanac, with a representation of the Round Tower upon it, and said Tycho Brahe was another of those who used a sword, but not one to cut into the flesh and bone, but to make the way of the stars of heaven clear, and plain to be understood.",elaboration
"Why, what have you found this time? inquired the brothers.",elaboration
"sabercat made an offer to trade 2 ore for 1 clay, 1 wood.",elaboration
"The second did not want to go in at all, but was forced.",elaboration
for wood,elaboration
"There lay fragments of plates, pieces of plaster, rags, old hats, and other rubbish not pleasant to see.",elaboration
Charming!,elaboration
sorry...,elaboration
"Poor Sultan, who was lying close by them, heard all that the shepherd and his wife said to one another, and was very much frightened to think tomorrow would be his last day; so in the evening he went to his good friend the wolf, who lived in the wood, and told him all his sorrows, and how his master meant to kill him in the morning.",elaboration
i will give you 1 clay for 1 sheep :),elaboration
"The maiden looked for strawberries outside, but as she found none, she went angrily home.",elaboration
"Sure,",elaboration
"The bean thanked him most prettily, but as the tailor used black thread, all beans since then have a black seam.",elaboration
"He wore gaiters, stiff collars, and powdered hair, and by this he was recognized; and, indeed, he might be known by the word of command- March! halt! front!",elaboration
for a sheep,elaboration
What next?,elaboration
"But the cat, not understanding this joke, sprang at his face, and spat, and scratched at him.",elaboration
anybody with a wheat?,elaboration
"He wore wooden shoes, and when his father worked in a ship-yard, the boy, wrapped up in an old worn-out shawl, carried his dinner to him every day.",elaboration
"The servant refused everything, and only asked for a horse and some money for travelling, as he had a mind to see the world and go about a little.",elaboration
i have sheep/ore,elaboration
